Drug,PubChem_CID,CHEMBL_ID,MECHANISM_OF_ACTION,TARGET_PREF_NAME,TARGET_UNIPROT,TARGET_INFO,KEGG_ID,KO_ID,KEGG_NAME,KEGG_eco,UNIPROT_eco
Aztreonam,5742832,CHEMBL158,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Aztreonam,5742832,CHEMBL158,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Aztreonam,5742832,CHEMBL158,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Aztreonam,5742832,CHEMBL158,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Cefaclor,51039,CHEMBL680,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Cefaclor,51039,CHEMBL680,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Cefaclor,51039,CHEMBL680,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
Cefaclor,51039,CHEMBL680,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Cefaclor,51039,CHEMBL680,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Cefaclor,51039,CHEMBL680,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Cefaclor,51039,CHEMBL680,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Cefotaxime,5742673,CHEMBL1730,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Cefotaxime,5742673,CHEMBL1730,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Cefotaxime,5742673,CHEMBL1730,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
Cefotaxime,5742673,CHEMBL1730,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Cefotaxime,5742673,CHEMBL1730,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Cefotaxime,5742673,CHEMBL1730,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Cefotaxime,5742673,CHEMBL1730,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Cephalexin,27447,CHEMBL1727,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Cephalexin,27447,CHEMBL1727,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Cephalexin,27447,CHEMBL1727,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
Cephalexin,27447,CHEMBL1727,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Cephalexin,27447,CHEMBL1727,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Cephalexin,27447,CHEMBL1727,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Cephalexin,27447,CHEMBL1727,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Ciprofloxacin,2764,CHEMBL8,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase,P0AES4,DNA gyrase subunit A,eco:b2231,K02469,gyrA; DNA gyrase subunit A,eco:b2231,P0AES4
Ciprofloxacin,2764,CHEMBL8,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase,P0AES6,DNA gyrase subunit B,eco:b3699,K02470,gyrB; DNA gyrase subunit B,eco:b3699,P0AES6
Clindamycin,446598,CHEMBL1753,Bacterial 70S ribosome inhibitor,Bacterial 70S ribosome,P0A7J6,50S ribosomal protein L10,sfl:SF4058,K02864,rplJ; 50S ribosomal protein L10,eco:b3985,P0A7J3
Doxycycline,54671203,CHEMBL1433,30S ribosomal protein S4,30S ribosomal protein S4,P0A7V8,30S ribosomal protein S4,eco:b3296,K02986,rpsD; 30S ribosomal subunit protein S4,eco:b3296,P0A7V8
Doxycycline,54671203,CHEMBL1433,30S ribosomal protein S9,30S ribosomal protein S9,P0A7X3,30S ribosomal protein S9,eco:b3230,K02996,rpsI; 30S ribosomal subunit protein S9,eco:b3230,P0A7X3
Flucytosine,3366,CHEMBL1463,Thymidylate synthase inhibitor,Thymidylate synthase,P0CS13,Thymidylate synthase,cnb:CNBJ2230,K00560,hypothetical protein,eco:b2827,P0A884
Flucytosine,3366,CHEMBL1463,Thymidylate synthase inhibitor,Thymidylate synthase,P12461,Thymidylate synthase,cal:CAALFM_C205190WA,K00560,CDC21; thymidylate synthase,eco:b2827,P0A884
Flucytosine,3366,CHEMBL1463,Thymidylate synthase inhibitor,DNA (cytosine-5)-methyltransferase 1,P26358,DNA (cytosine-5)-methyltransferase 1,hsa:1786,K00558,DNMT1; DNA methyltransferase 1,eco:b1961,P0AED9
Fosfomycin,446987,CHEMBL1757,UDP-N-acetylglucosamine 1-carboxyvinyltransferase inhibitor,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,P0A749,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,eco:b3189,K00790,murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase,eco:b3189,P0A749
Imipenem,104838,CHEMBL148,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Imipenem,104838,CHEMBL148,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Imipenem,104838,CHEMBL148,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
Imipenem,104838,CHEMBL148,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Imipenem,104838,CHEMBL148,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Imipenem,104838,CHEMBL148,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Imipenem,104838,CHEMBL148,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Levofloxacin,149096,CHEMBL33,DNA gyrase inhibitor,DNA gyrase,P0A4L9,DNA gyrase subunit B,spn:SP_0806,K02470,gyrB; DNA gyrase subunit B,eco:b3699,P0AES6
Levofloxacin,149096,CHEMBL33,DNA gyrase inhibitor,DNA gyrase subunit A,P43700,DNA gyrase subunit A,hin:HI_1264,K02469,"DNA gyrase, subunit A (gyrA)",eco:b2231,P0AES4
Levofloxacin,149096,CHEMBL33,DNA gyrase inhibitor,DNA topoisomerase 4 subunit A,P43702,DNA topoisomerase 4 subunit A,hin:HI_1529,K02621,"topoisomerase IV, subunit A (parC)",eco:b3019,P0AFI2
Levofloxacin,149096,CHEMBL33,DNA gyrase inhibitor,DNA gyrase,P72524,DNA gyrase subunit A,spn:SP_1219,K02469,"gyrA; DNA gyrase, A subunit",eco:b2231,P0AES4
Levofloxacin,149096,CHEMBL33,DNA gyrase inhibitor,Topoisomerase IV,P72525,DNA topoisomerase 4 subunit A,spn:SP_0855,K02621,"parC; topoisomerase IV, subunit A",eco:b3019,P0AFI2
Levofloxacin,149096,CHEMBL33,DNA gyrase inhibitor,Topoisomerase IV,Q59961,DNA topoisomerase 4 subunit B,spn:SP_0852,K02622,"parE; topoisomerase IV, subunit B",eco:b3030,P20083
Meropenem,441130,CHEMBL127,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Meropenem,441130,CHEMBL127,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Meropenem,441130,CHEMBL127,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
Meropenem,441130,CHEMBL127,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Meropenem,441130,CHEMBL127,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Meropenem,441130,CHEMBL127,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Meropenem,441130,CHEMBL127,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Metformin,4091,CHEMBL1431,Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,Mitochondrial glycerol-3-phosphate dehydrogenase,P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial",hsa:2820,K00111,GPD2; glycerol-3-phosphate dehydrogenase 2,eco:b3426,P13035
Metformin,4091,CHEMBL1431,Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,Mitochondrial glycerol-3-phosphate dehydrogenase,P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial",hsa:2820,K00111,GPD2; glycerol-3-phosphate dehydrogenase 2,eco:b2241,P0A9C0
Moxifloxacin,152946,CHEMBL32,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase,P0AES4,DNA gyrase subunit A,eco:b2231,K02469,gyrA; DNA gyrase subunit A,eco:b2231,P0AES4
Moxifloxacin,152946,CHEMBL32,Bacterial DNA gyrase inhibitor,Bacterial DNA gyrase,P0AES6,DNA gyrase subunit B,eco:b3699,K02470,gyrB; DNA gyrase subunit B,eco:b3699,P0AES6
Moxifloxacin,152946,CHEMBL32,Topoisomerase IV inhibitor,Topoisomerase IV,P0AFI2,DNA topoisomerase 4 subunit A,eco:b3019,K02621,parC; DNA topoisomerase IV subunit A,eco:b3019,P0AFI2
Moxifloxacin,152946,CHEMBL32,Topoisomerase IV inhibitor,Topoisomerase IV,P20083,DNA topoisomerase 4 subunit B,eco:b3030,K02622,parE; DNA topoisomerase IV subunit B,eco:b3030,P20083
Moxifloxacin,152946,CHEMBL32,Topoisomerase IV inhibitor,DNA gyrase subunit A,P43700,DNA gyrase subunit A,hin:HI_1264,K02469,"DNA gyrase, subunit A (gyrA)",eco:b2231,P0AES4
Moxifloxacin,152946,CHEMBL32,Topoisomerase IV inhibitor,DNA topoisomerase 4 subunit A,P43702,DNA topoisomerase 4 subunit A,hin:HI_1529,K02621,"topoisomerase IV, subunit A (parC)",eco:b3019,P0AFI2
Novobiocin,54675769,CHEMBL36506,DNA gyrase inhibitor,DNA gyrase,Q5HK03,DNA gyrase subunit B,ser:SERP2549,K02470,"gyrB; DNA gyrase, B subunit",eco:b3699,P0AES6
Novobiocin,54675769,CHEMBL36506,DNA gyrase inhibitor,DNA gyrase,Q5HK04,DNA gyrase subunit A,ser:SERP2548,K02469,"gyrA; DNA gyrase, A subunit",eco:b2231,P0AES4
Paraquat,15939,CHEMBL74469,Multidrug and toxin extrusion protein,multidrug and toxin extrusion protein 1,Q96FL8,MATE1,hsa:55244,K03327,SLC47A1; solute carrier family 47 member 1,eco:b4044,P28303
Paraquat,15939,CHEMBL74469,Multidrug and toxin extrusion protein,multidrug and toxin extrusion protein 1,Q96FL8,MATE1,hsa:55244,K03327,SLC47A1; solute carrier family 47 member 1,eco:b1663,P37340
Paraquat,15939,CHEMBL74469,Multidrug and toxin extrusion protein,multidrug and toxin extrusion protein 2,Q86VL8,MATE2,hsa:146802,K03327,SLC47A2; solute carrier family 47 member 2,eco:b4044,P28303
Paraquat,15939,CHEMBL74469,Multidrug and toxin extrusion protein,multidrug and toxin extrusion protein 2,Q86VL8,MATE2,hsa:146802,K03327,SLC47A2; solute carrier family 47 member 2,eco:b1663,P37340
Penicillin G,5904,CHEMBL29,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Penicillin G,5904,CHEMBL29,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Penicillin G,5904,CHEMBL29,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
Penicillin G,5904,CHEMBL29,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Penicillin G,5904,CHEMBL29,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Penicillin G,5904,CHEMBL29,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Penicillin G,5904,CHEMBL29,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Piperacillin,43672,CHEMBL702,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Piperacillin,43672,CHEMBL702,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Piperacillin,43672,CHEMBL702,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
Piperacillin,43672,CHEMBL702,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Piperacillin,43672,CHEMBL702,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Piperacillin,43672,CHEMBL702,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Piperacillin,43672,CHEMBL702,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Pseudomonic acid,446596,CHEMBL719,Isoleucyl-tRNA synthetase inhibitor,Isoleucyl-tRNA synthetase,Q99YW3,Isoleucine--tRNA ligase,spy:SPy_1513,K01870,ileS; putative isoleucyl-tRNA synthetase,eco:b0026,P00956
Rifampicin,135398735,CHEMBL374478,Bacterial DNA-directed RNA polymerase inhibitor,Bacterial DNA-directed RNA polymerase,P0A8T7,DNA-directed RNA polymerase subunit beta',eco:b3988,K03046,rpoC; RNA polymerase subunit beta',eco:b3988,P0A8T7
Rifampicin,135398735,CHEMBL374478,Bacterial DNA-directed RNA polymerase inhibitor,Bacterial DNA-directed RNA polymerase,P0A8V2,DNA-directed RNA polymerase subunit beta,eco:b3987,K03043,rpoB; RNA polymerase subunit beta,eco:b3987,P0A8V2
Triclosan,5564,CHEMBL849,Bacterial enoyl-[acyl-carrier-protein] reductase inhibitor,Bacterial enoyl-[acyl-carrier-protein] reductase,P0AEK4,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,eco:b1288,K00208,fabI; enoyl-[acyl-carrier-protein] reductase,eco:b1288,P0AEK4
Trimethoprim,5578,CHEMBL22,Bacterial dihydrofolate reductase inhibitor,Bacterial dihydrofolate reductase,P0ABQ4,Dihydrofolate reductase,eco:b0048,K00287,folA; dihydrofolate reductase,eco:b0048,P0ABQ4
