"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug1","drug2","drug_pair","network"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Aztreonam","Aztreonam_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Cefaclor","Cefaclor_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Cefotaxime","Cefotaxime_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Cephalexin","Cephalexin_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Imipenem","Flucytosine_Imipenem","EcoliNet.v1.txt"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Meropenem","Flucytosine_Meropenem","EcoliNet.v1.txt"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Penicillin G","Flucytosine_Penicillin G","EcoliNet.v1.txt"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Piperacillin","Flucytosine_Piperacillin","EcoliNet.v1.txt"
"eco:b1961","eco:b3189",3,11,11,67,39,11,67,"Flucytosine","Fosfomycin","Flucytosine_Fosfomycin","EcoliNet.v1.txt"
"eco:b1961","eco:b3230",3,11,11,259,135,11,259,"Flucytosine","Doxycycline","Doxycycline_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3251",3,11,11,99,55,11,99,"Flucytosine","A22","A22_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3296",2,11,11,280,146,11,280,"Flucytosine","Doxycycline","Doxycycline_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Amoxicillin","Amoxicillin_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Aztreonam","Aztreonam_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Cefaclor","Cefaclor_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Cefotaxime","Cefotaxime_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Cephalexin","Cephalexin_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Imipenem","Flucytosine_Imipenem","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Meropenem","Flucytosine_Meropenem","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Penicillin G","Flucytosine_Penicillin G","EcoliNet.v1.txt"
"eco:b1961","eco:b3396",3,11,11,79,45,11,79,"Flucytosine","Piperacillin","Flucytosine_Piperacillin","EcoliNet.v1.txt"
"eco:b1961","eco:b3426",2,11,11,48,30,11,48,"Flucytosine","Metformin","Flucytosine_Metformin","EcoliNet.v1.txt"
"eco:b1961","eco:b3699",3,11,11,46,28,11,46,"Flucytosine","Ciprofloxacin","Ciprofloxacin_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3699",3,11,11,46,28,11,46,"Flucytosine","Levofloxacin","Flucytosine_Levofloxacin","EcoliNet.v1.txt"
"eco:b1961","eco:b3699",3,11,11,46,28,11,46,"Flucytosine","Moxifloxacin","Flucytosine_Moxifloxacin","EcoliNet.v1.txt"
"eco:b1961","eco:b3699",3,11,11,46,28,11,46,"Flucytosine","Novobiocin","Flucytosine_Novobiocin","EcoliNet.v1.txt"
"eco:b1961","eco:b3887",3,11,11,32,22,11,32,"Flucytosine","Fusidic acid","Flucytosine_Fusidic acid","EcoliNet.v1.txt"
"eco:b1961","eco:b3985",3,11,11,148,80,11,148,"Flucytosine","Clindamycin","Clindamycin_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b3987",3,11,11,90,50,11,90,"Flucytosine","Rifampicin","Flucytosine_Rifampicin","EcoliNet.v1.txt"
"eco:b1961","eco:b3988",3,11,11,94,52,11,94,"Flucytosine","Rifampicin","Flucytosine_Rifampicin","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Amoxicillin","Amoxicillin_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Aztreonam","Aztreonam_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Cefaclor","Cefaclor_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Cefotaxime","Cefotaxime_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Cephalexin","Cephalexin_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Imipenem","Imipenem_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Meropenem","Meropenem_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Penicillin G","Penicillin G_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b0084",2,32,122,32,77,32,122,"Pseudomonic acid","Piperacillin","Piperacillin_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0026","eco:b3887",3,32,122,32,77,32,122,"Pseudomonic acid","Fusidic acid","Fusidic acid_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Amoxicillin","Amoxicillin_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Aztreonam","Aztreonam_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Cefaclor","Cefaclor_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Cefotaxime","Cefotaxime_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Cephalexin","Cephalexin_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Imipenem","Imipenem_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Meropenem","Meropenem_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Penicillin G","Penicillin G_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b0084",2,32,71,32,52,32,71,"Trimethoprim","Piperacillin","Piperacillin_Trimethoprim","EcoliNet.v1.txt"
"eco:b0048","eco:b3887",3,32,71,32,52,32,71,"Trimethoprim","Fusidic acid","Fusidic acid_Trimethoprim","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Amoxicillin","Aztreonam","Amoxicillin_Aztreonam","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Amoxicillin","Cefaclor","Amoxicillin_Cefaclor","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Amoxicillin","Cefotaxime","Amoxicillin_Cefotaxime","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Amoxicillin","Cephalexin","Amoxicillin_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Amoxicillin","Imipenem","Amoxicillin_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Amoxicillin","Meropenem","Amoxicillin_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Amoxicillin","Penicillin G","Amoxicillin_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Amoxicillin","Piperacillin","Amoxicillin_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Aztreonam","Amoxicillin","Amoxicillin_Aztreonam","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Aztreonam","Cefaclor","Aztreonam_Cefaclor","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Aztreonam","Cefotaxime","Aztreonam_Cefotaxime","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Aztreonam","Cephalexin","Aztreonam_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Aztreonam","Imipenem","Aztreonam_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Aztreonam","Meropenem","Aztreonam_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Aztreonam","Penicillin G","Aztreonam_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Aztreonam","Piperacillin","Aztreonam_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefaclor","Amoxicillin","Amoxicillin_Cefaclor","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefaclor","Aztreonam","Aztreonam_Cefaclor","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefaclor","Cefotaxime","Cefaclor_Cefotaxime","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefaclor","Cephalexin","Cefaclor_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefaclor","Imipenem","Cefaclor_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefaclor","Meropenem","Cefaclor_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefaclor","Penicillin G","Cefaclor_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefaclor","Piperacillin","Cefaclor_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefotaxime","Amoxicillin","Amoxicillin_Cefotaxime","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefotaxime","Aztreonam","Aztreonam_Cefotaxime","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefotaxime","Cefaclor","Cefaclor_Cefotaxime","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefotaxime","Cephalexin","Cefotaxime_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefotaxime","Imipenem","Cefotaxime_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefotaxime","Meropenem","Cefotaxime_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefotaxime","Penicillin G","Cefotaxime_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cefotaxime","Piperacillin","Cefotaxime_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cephalexin","Amoxicillin","Amoxicillin_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cephalexin","Aztreonam","Aztreonam_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cephalexin","Cefaclor","Cefaclor_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cephalexin","Cefotaxime","Cefotaxime_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cephalexin","Imipenem","Cephalexin_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cephalexin","Meropenem","Cephalexin_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cephalexin","Penicillin G","Cephalexin_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Cephalexin","Piperacillin","Cephalexin_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Imipenem","Amoxicillin","Amoxicillin_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Imipenem","Aztreonam","Aztreonam_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Imipenem","Cefaclor","Cefaclor_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Imipenem","Cefotaxime","Cefotaxime_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Imipenem","Cephalexin","Cephalexin_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Imipenem","Meropenem","Imipenem_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Imipenem","Penicillin G","Imipenem_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Imipenem","Piperacillin","Imipenem_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Meropenem","Amoxicillin","Amoxicillin_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Meropenem","Aztreonam","Aztreonam_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Meropenem","Cefaclor","Cefaclor_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Meropenem","Cefotaxime","Cefotaxime_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Meropenem","Cephalexin","Cephalexin_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Meropenem","Imipenem","Imipenem_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Meropenem","Penicillin G","Meropenem_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Meropenem","Piperacillin","Meropenem_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Penicillin G","Amoxicillin","Amoxicillin_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Penicillin G","Aztreonam","Aztreonam_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Penicillin G","Cefaclor","Cefaclor_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Penicillin G","Cefotaxime","Cefotaxime_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Penicillin G","Cephalexin","Cephalexin_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Penicillin G","Imipenem","Imipenem_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Penicillin G","Meropenem","Meropenem_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Penicillin G","Piperacillin","Penicillin G_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Piperacillin","Amoxicillin","Amoxicillin_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Piperacillin","Aztreonam","Aztreonam_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Piperacillin","Cefaclor","Cefaclor_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Piperacillin","Cefotaxime","Cefotaxime_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Piperacillin","Cephalexin","Cephalexin_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Piperacillin","Imipenem","Imipenem_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Piperacillin","Meropenem","Meropenem_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0149",1,32,32,126,79,32,126,"Piperacillin","Penicillin G","Penicillin G_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Amoxicillin","Aztreonam","Amoxicillin_Aztreonam","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Amoxicillin","Cefaclor","Amoxicillin_Cefaclor","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Amoxicillin","Cefotaxime","Amoxicillin_Cefotaxime","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Amoxicillin","Cephalexin","Amoxicillin_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Amoxicillin","Imipenem","Amoxicillin_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Amoxicillin","Meropenem","Amoxicillin_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Amoxicillin","Penicillin G","Amoxicillin_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Amoxicillin","Piperacillin","Amoxicillin_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Aztreonam","Amoxicillin","Amoxicillin_Aztreonam","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Aztreonam","Cefaclor","Aztreonam_Cefaclor","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Aztreonam","Cefotaxime","Aztreonam_Cefotaxime","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Aztreonam","Cephalexin","Aztreonam_Cephalexin","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Aztreonam","Imipenem","Aztreonam_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Aztreonam","Meropenem","Aztreonam_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Aztreonam","Penicillin G","Aztreonam_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Aztreonam","Piperacillin","Aztreonam_Piperacillin","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Cefaclor","Amoxicillin","Amoxicillin_Cefaclor","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Cefaclor","Aztreonam","Aztreonam_Cefaclor","EcoliNet.v1.txt"
"eco:b0084","eco:b0635",1,32,32,56,44,32,56,"Cefaclor","Cefotaxime","Cefaclor_Cefotaxime","EcoliNet.v1.txt"
