"KEGG1_KEGG2","KEGG1","KEGG2","drug_pair","Drug1","Drug2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","adjacency","network"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cephalexin_Meropenem","Cephalexin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cephalexin_Penicillin G","Cephalexin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cephalexin_Piperacillin","Cephalexin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Imipenem_Meropenem","Imipenem","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Imipenem_Penicillin G","Imipenem","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Imipenem_Piperacillin","Imipenem","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Meropenem_Penicillin G","Meropenem","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Meropenem_Piperacillin","Meropenem","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Penicillin G_Piperacillin","Penicillin G","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Aztreonam_Fosfomycin","Aztreonam","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Cefaclor_Fosfomycin","Cefaclor","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Cephalexin_Fosfomycin","Cephalexin","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Fosfomycin_Imipenem","Fosfomycin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Fosfomycin_Meropenem","Fosfomycin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Fosfomycin_Penicillin G","Fosfomycin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Fosfomycin_Piperacillin","Fosfomycin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Imipenem","Cefaclor","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Meropenem","Cefaclor","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cephalexin_Imipenem","Cephalexin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cephalexin_Meropenem","Cephalexin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cephalexin_Penicillin G","Cephalexin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cephalexin_Piperacillin","Cephalexin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Imipenem_Meropenem","Imipenem","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Imipenem_Penicillin G","Imipenem","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Imipenem_Piperacillin","Imipenem","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Meropenem_Penicillin G","Meropenem","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Meropenem_Piperacillin","Meropenem","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Penicillin G_Piperacillin","Penicillin G","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Aztreonam_Fosfomycin","Aztreonam","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Cefaclor_Fosfomycin","Cefaclor","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Cephalexin_Fosfomycin","Cephalexin","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Fosfomycin_Imipenem","Fosfomycin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Fosfomycin_Meropenem","Fosfomycin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Fosfomycin_Penicillin G","Fosfomycin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Fosfomycin_Piperacillin","Fosfomycin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Imipenem","Cefaclor","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Meropenem","Cefaclor","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cephalexin_Imipenem","Cephalexin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cephalexin_Meropenem","Cephalexin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cephalexin_Penicillin G","Cephalexin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cephalexin_Piperacillin","Cephalexin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Imipenem_Meropenem","Imipenem","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Imipenem_Penicillin G","Imipenem","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Imipenem_Piperacillin","Imipenem","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Meropenem_Penicillin G","Meropenem","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Meropenem_Piperacillin","Meropenem","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Penicillin G_Piperacillin","Penicillin G","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Aztreonam_Fosfomycin","Aztreonam","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Cefaclor_Fosfomycin","Cefaclor","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Cephalexin_Fosfomycin","Cephalexin","Fosfomycin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Fosfomycin_Imipenem","Fosfomycin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Fosfomycin_Meropenem","Fosfomycin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Fosfomycin_Penicillin G","Fosfomycin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Fosfomycin_Piperacillin","Fosfomycin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0026_eco:b0048","eco:b0026","eco:b0048","Pseudomonic acid_Trimethoprim","Pseudomonic acid","Trimethoprim",Inf,0,22,14,18,14,22,0,"EcoCyc.goldstandardset.txt"
"eco:b0026_eco:b0084","eco:b0026","eco:b0084","Amoxicillin_Pseudomonic acid","Amoxicillin","Pseudomonic acid",Inf,0,22,15,18.5,15,22,0,"EcoCyc.goldstandardset.txt"
"eco:b0026_eco:b0084","eco:b0026","eco:b0084","Aztreonam_Pseudomonic acid","Aztreonam","Pseudomonic acid",Inf,0,22,15,18.5,15,22,0,"EcoCyc.goldstandardset.txt"
"eco:b0026_eco:b0084","eco:b0026","eco:b0084","Cefaclor_Pseudomonic acid","Cefaclor","Pseudomonic acid",Inf,0,22,15,18.5,15,22,0,"EcoCyc.goldstandardset.txt"
"eco:b0026_eco:b0084","eco:b0026","eco:b0084","Cefotaxime_Pseudomonic acid","Cefotaxime","Pseudomonic acid",Inf,0,22,15,18.5,15,22,0,"EcoCyc.goldstandardset.txt"
"eco:b0026_eco:b0084","eco:b0026","eco:b0084","Cephalexin_Pseudomonic acid","Cephalexin","Pseudomonic acid",Inf,0,22,15,18.5,15,22,0,"EcoCyc.goldstandardset.txt"
"eco:b0026_eco:b0084","eco:b0026","eco:b0084","Imipenem_Pseudomonic acid","Imipenem","Pseudomonic acid",Inf,0,22,15,18.5,15,22,0,"EcoCyc.goldstandardset.txt"
