"KEGG1_KEGG2","KEGG1","KEGG2","Drug1_Drug2","Drug1","Drug2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","network"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Imipenem","Cefaclor","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Meropenem","Cefaclor","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cephalexin_Imipenem","Cephalexin","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cephalexin_Meropenem","Cephalexin","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cephalexin_Penicillin G","Cephalexin","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cephalexin_Piperacillin","Cephalexin","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Imipenem_Meropenem","Imipenem","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Imipenem_Penicillin G","Imipenem","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Imipenem_Piperacillin","Imipenem","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Meropenem_Penicillin G","Meropenem","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Meropenem_Piperacillin","Meropenem","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Penicillin G_Piperacillin","Penicillin G","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Aztreonam_Fosfomycin","Aztreonam","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Cefaclor_Fosfomycin","Cefaclor","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3189","eco:b0084","eco:b3189","Cephalexin_Fosfomycin","Cephalexin","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Imipenem","Cefaclor","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Meropenem","Cefaclor","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cephalexin_Imipenem","Cephalexin","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cephalexin_Meropenem","Cephalexin","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cephalexin_Penicillin G","Cephalexin","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Cephalexin_Piperacillin","Cephalexin","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Imipenem_Meropenem","Imipenem","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Imipenem_Penicillin G","Imipenem","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Imipenem_Piperacillin","Imipenem","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Meropenem_Penicillin G","Meropenem","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Meropenem_Piperacillin","Meropenem","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b3396","eco:b0084","eco:b3396","Penicillin G_Piperacillin","Penicillin G","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Aztreonam_Fosfomycin","Aztreonam","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Cefaclor_Fosfomycin","Cefaclor","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Cefotaxime_Fosfomycin","Cefotaxime","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3189","eco:b0149","eco:b3189","Cephalexin_Fosfomycin","Cephalexin","Fosfomycin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Imipenem","Cefaclor","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Meropenem","Cefaclor","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cephalexin_Imipenem","Cephalexin","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cephalexin_Meropenem","Cephalexin","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cephalexin_Penicillin G","Cephalexin","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Cephalexin_Piperacillin","Cephalexin","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Imipenem_Meropenem","Imipenem","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Imipenem_Penicillin G","Imipenem","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Imipenem_Piperacillin","Imipenem","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Meropenem_Penicillin G","Meropenem","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Meropenem_Piperacillin","Meropenem","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0149_eco:b3396","eco:b0149","eco:b3396","Penicillin G_Piperacillin","Penicillin G","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Fosfomycin_Imipenem","Fosfomycin","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Fosfomycin_Meropenem","Fosfomycin","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Fosfomycin_Penicillin G","Fosfomycin","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b3189_eco:b3396","eco:b3189","eco:b3396","Fosfomycin_Piperacillin","Fosfomycin","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b1961","eco:b0084","eco:b1961","Amoxicillin_Flucytosine","Amoxicillin","Flucytosine",3,11,32,11,21.5,11,32,"EcoliNet.v1.txt"
"eco:b0084_eco:b1961","eco:b0084","eco:b1961","Aztreonam_Flucytosine","Aztreonam","Flucytosine",3,11,32,11,21.5,11,32,"EcoliNet.v1.txt"
"eco:b0084_eco:b1961","eco:b0084","eco:b1961","Cefaclor_Flucytosine","Cefaclor","Flucytosine",3,11,32,11,21.5,11,32,"EcoliNet.v1.txt"
"eco:b0084_eco:b1961","eco:b0084","eco:b1961","Cefotaxime_Flucytosine","Cefotaxime","Flucytosine",3,11,32,11,21.5,11,32,"EcoliNet.v1.txt"
"eco:b0084_eco:b1961","eco:b0084","eco:b1961","Cephalexin_Flucytosine","Cephalexin","Flucytosine",3,11,32,11,21.5,11,32,"EcoliNet.v1.txt"
"eco:b0149_eco:b1961","eco:b0149","eco:b1961","Amoxicillin_Flucytosine","Amoxicillin","Flucytosine",3,11,126,11,68.5,11,126,"EcoliNet.v1.txt"
"eco:b0149_eco:b1961","eco:b0149","eco:b1961","Aztreonam_Flucytosine","Aztreonam","Flucytosine",3,11,126,11,68.5,11,126,"EcoliNet.v1.txt"
"eco:b0149_eco:b1961","eco:b0149","eco:b1961","Cefaclor_Flucytosine","Cefaclor","Flucytosine",3,11,126,11,68.5,11,126,"EcoliNet.v1.txt"
"eco:b0149_eco:b1961","eco:b0149","eco:b1961","Cefotaxime_Flucytosine","Cefotaxime","Flucytosine",3,11,126,11,68.5,11,126,"EcoliNet.v1.txt"
"eco:b0149_eco:b1961","eco:b0149","eco:b1961","Cephalexin_Flucytosine","Cephalexin","Flucytosine",3,11,126,11,68.5,11,126,"EcoliNet.v1.txt"
"eco:b0635_eco:b1961","eco:b0635","eco:b1961","Amoxicillin_Flucytosine","Amoxicillin","Flucytosine",3,11,56,11,33.5,11,56,"EcoliNet.v1.txt"
"eco:b0635_eco:b1961","eco:b0635","eco:b1961","Aztreonam_Flucytosine","Aztreonam","Flucytosine",3,11,56,11,33.5,11,56,"EcoliNet.v1.txt"
"eco:b0635_eco:b1961","eco:b0635","eco:b1961","Cefaclor_Flucytosine","Cefaclor","Flucytosine",3,11,56,11,33.5,11,56,"EcoliNet.v1.txt"
"eco:b0635_eco:b1961","eco:b0635","eco:b1961","Cefotaxime_Flucytosine","Cefotaxime","Flucytosine",3,11,56,11,33.5,11,56,"EcoliNet.v1.txt"
"eco:b0635_eco:b1961","eco:b0635","eco:b1961","Cephalexin_Flucytosine","Cephalexin","Flucytosine",3,11,56,11,33.5,11,56,"EcoliNet.v1.txt"
"eco:b0839_eco:b1961","eco:b0839","eco:b1961","Amoxicillin_Flucytosine","Amoxicillin","Flucytosine",3,11,51,11,31,11,51,"EcoliNet.v1.txt"
"eco:b0839_eco:b1961","eco:b0839","eco:b1961","Aztreonam_Flucytosine","Aztreonam","Flucytosine",3,11,51,11,31,11,51,"EcoliNet.v1.txt"
"eco:b0839_eco:b1961","eco:b0839","eco:b1961","Cefaclor_Flucytosine","Cefaclor","Flucytosine",3,11,51,11,31,11,51,"EcoliNet.v1.txt"
"eco:b0839_eco:b1961","eco:b0839","eco:b1961","Cefotaxime_Flucytosine","Cefotaxime","Flucytosine",3,11,51,11,31,11,51,"EcoliNet.v1.txt"
"eco:b0839_eco:b1961","eco:b0839","eco:b1961","Cephalexin_Flucytosine","Cephalexin","Flucytosine",3,11,51,11,31,11,51,"EcoliNet.v1.txt"
"eco:b1961_eco:b2231","eco:b1961","eco:b2231","Flucytosine_Levofloxacin","Flucytosine","Levofloxacin",2,11,11,70,40.5,11,70,"EcoliNet.v1.txt"
"eco:b1961_eco:b2231","eco:b1961","eco:b2231","Flucytosine_Moxifloxacin","Flucytosine","Moxifloxacin",2,11,11,70,40.5,11,70,"EcoliNet.v1.txt"
"eco:b1961_eco:b2231","eco:b1961","eco:b2231","Flucytosine_Novobiocin","Flucytosine","Novobiocin",2,11,11,70,40.5,11,70,"EcoliNet.v1.txt"
"eco:b1961_eco:b3019","eco:b1961","eco:b3019","Flucytosine_Levofloxacin","Flucytosine","Levofloxacin",2,11,11,41,26,11,41,"EcoliNet.v1.txt"
"eco:b1961_eco:b3019","eco:b1961","eco:b3019","Flucytosine_Moxifloxacin","Flucytosine","Moxifloxacin",2,11,11,41,26,11,41,"EcoliNet.v1.txt"
"eco:b1961_eco:b3030","eco:b1961","eco:b3030","Flucytosine_Levofloxacin","Flucytosine","Levofloxacin",1,11,11,48,29.5,11,48,"EcoliNet.v1.txt"
"eco:b1961_eco:b3030","eco:b1961","eco:b3030","Flucytosine_Moxifloxacin","Flucytosine","Moxifloxacin",1,11,11,48,29.5,11,48,"EcoliNet.v1.txt"
"eco:b1961_eco:b3177","eco:b1961","eco:b3177","Flucytosine_Sulfamonomethoxine","Flucytosine","Sulfamonomethoxine",3,11,11,59,35,11,59,"EcoliNet.v1.txt"
"eco:b1961_eco:b3182","eco:b1961","eco:b3182","Flucytosine_Imipenem","Flucytosine","Imipenem",3,11,11,58,34.5,11,58,"EcoliNet.v1.txt"
"eco:b1961_eco:b3182","eco:b1961","eco:b3182","Flucytosine_Meropenem","Flucytosine","Meropenem",3,11,11,58,34.5,11,58,"EcoliNet.v1.txt"
