yourlist:M2021051372FEB3358BE035486EE75ADE9E91772506A23FI	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
eco:b0098	P10408	SECA_ECOLI	reviewed	Protein translocase subunit SecA	secA azi pea prlD b0098 JW0096	Escherichia coli (strain K12)	901
eco:b0114	P0AFG8	ODP1_ECOLI	reviewed	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	aceE b0114 JW0110	Escherichia coli (strain K12)	887
eco:b0115	P06959	ODP2_ECOLI	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	aceF b0115 JW0111	Escherichia coli (strain K12)	630
eco:b0118	P36683	ACNB_ECOLI	reviewed	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114	Escherichia coli (strain K12)	865
eco:b0123	P36649	CUEO_ECOLI	reviewed	Blue copper oxidase CueO (Copper efflux oxidase)	cueO yacK b0123 JW0119	Escherichia coli (strain K12)	516
eco:b0143	P0ABF1	PCNB_ECOLI	reviewed	Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein)	pcnB b0143 JW5808	Escherichia coli (strain K12)	465
eco:b0145	P0ABS1	DKSA_ECOLI	reviewed	RNA polymerase-binding transcription factor DksA (DnaK suppressor protein)	dksA b0145 JW0141	Escherichia coli (strain K12)	151
eco:b0149	P02919	PBPB_ECOLI	reviewed	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcB pbpF ponB b0149 JW0145	Escherichia coli (strain K12)	844
eco:b0150	P06971	FHUA_ECOLI	reviewed	Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor)	fhuA tonA b0150 JW0146	Escherichia coli (strain K12)	747
eco:b0158	P37028	BTUF_ECOLI	reviewed	Vitamin B12-binding protein	btuF yadT b0158 JW0154	Escherichia coli (strain K12)	266
eco:b0161	P0C0V0	DEGP_ECOLI	reviewed	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP htrA ptd b0161 JW0157	Escherichia coli (strain K12)	474
eco:b0166	P0A9D8	DAPD_ECOLI	reviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Succinyl-CoA: tetrahydrodipicolinate N-succinyltransferase) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD b0166 JW0161	Escherichia coli (strain K12)	274
eco:b0167	P27249	GLND_ECOLI	reviewed	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD b0167 JW0162	Escherichia coli (strain K12)	890
eco:b0169	P0A7V0	RS2_ECOLI	reviewed	30S ribosomal protein S2 (Small ribosomal subunit protein uS2)	rpsB b0169 JW0164	Escherichia coli (strain K12)	241
eco:b0170	P0A6P1	EFTS_ECOLI	reviewed	Elongation factor Ts (EF-Ts) (Bacteriophage Q beta RNA-directed RNA polymerase subunit IV)	tsf b0170 JW0165	Escherichia coli (strain K12)	283
eco:b0171	P0A7E9	PYRH_ECOLI	reviewed	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH smbA b0171 JW0166	Escherichia coli (strain K12)	241
eco:b0176	P0AEH1	RSEP_ECOLI	reviewed	Regulator of sigma-E protease RseP (EC 3.4.24.-) (S2P endopeptidase) (Site-2 protease RseP) (S2P protease RseP) (Site-2-type intramembrane protease)	rseP ecfE yaeL b0176 JW0171	Escherichia coli (strain K12)	450
eco:b0177	P0A940	BAMA_ECOLI	reviewed	Outer membrane protein assembly factor BamA (Omp85)	bamA yaeT yzzN yzzY b0177 JW0172	Escherichia coli (strain K12)	810
eco:b0178	P0AEU7	SKP_ECOLI	reviewed	Chaperone protein Skp (DNA-binding 17 kDa protein) (Histone-like protein HLP-1) (Seventeen kilodalton protein)	skp hlpA ompH b0178 JW0173	Escherichia coli (strain K12)	161
eco:b0180	P0A6Q6	FABZ_ECOLI	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase)	fabZ sefA yaeA b0180 JW0175	Escherichia coli (strain K12)	151
eco:b0184	P10443	DPO3A_ECOLI	reviewed	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE polC b0184 JW0179	Escherichia coli (strain K12)	1160
eco:b0185	P0ABD5	ACCA_ECOLI	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA b0185 JW0180	Escherichia coli (strain K12)	319
eco:b0189	P0AFW8	ROF_ECOLI	reviewed	Protein rof	rof yaeO b0189 JW0184	Escherichia coli (strain K12)	84
eco:b0194	P16659	SYP_ECOLI	reviewed	Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS)	proS drpA b0194 JW0190	Escherichia coli (strain K12)	572
eco:b0197	P28635	METQ_ECOLI	reviewed	D-methionine-binding lipoprotein MetQ	metQ yaeC b0197 JW0193	Escherichia coli (strain K12)	271
eco:b0198	P31547	METI_ECOLI	reviewed	D-methionine transport system permease protein MetI	metI yaeE b0198 JW0194	Escherichia coli (strain K12)	217
eco:b0199	P30750	METN_ECOLI	reviewed	Methionine import ATP-binding protein MetN (EC 7.4.2.11)	metN abc b0199 JW0195	Escherichia coli (strain K12)	343
eco:b0215	P03007	DPO3E_ECOLI	reviewed	DNA polymerase III subunit epsilon (EC 2.7.7.7)	dnaQ mutD b0215 JW0205	Escherichia coli (strain K12)	243
eco:b0231	Q47155	DPO4_ECOLI	reviewed	DNA polymerase IV (Pol IV) (EC 2.7.7.7) (Translesion synthesis polymerase IV) (TSL polymerase IV)	dinB dinP b0231 JW0221	Escherichia coli (strain K12)	351
eco:b0237	P15288	PEPD_ECOLI	reviewed	Cytosol non-specific dipeptidase (EC 3.4.13.18) (Aminoacyl-histidine dipeptidase) (Beta-alanyl-histidine dipeptidase) (Carnosinase) (Cysteinylglycinase) (Peptidase D) (Xaa-His dipeptidase) (X-His dipeptidase)	pepD pepH b0237 JW0227	Escherichia coli (strain K12)	485
eco:b0254	Q57083	PERR_ECOLI	reviewed	HTH-type transcriptional regulator PerR (Peroxide resistance protein PerR)	perR b0254 JW0244	Escherichia coli (strain K12)	297
eco:b0325	P75691	YAHK_ECOLI	reviewed	Aldehyde reductase YahK (EC 1.1.1.2) (Zinc-dependent alcohol dehydrogenase YahK)	yahK b0325 JW0317	Escherichia coli (strain K12)	349
eco:b0342	P07464	THGA_ECOLI	reviewed	Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Acetyl-CoA:galactoside 6-O-acetyltransferase) (Thiogalactoside acetyltransferase) (Thiogalactoside transacetylase)	lacA b0342 JW0333	Escherichia coli (strain K12)	203
eco:b0344	P00722	BGAL_ECOLI	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024
eco:b0344	G0ZKW2	G0ZKW2_ECOLI	unreviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ	Escherichia coli str. K-12 substr. MG1655	1024
eco:b0345	P03023	LACI_ECOLI	reviewed	Lactose operon repressor	lacI b0345 JW0336	Escherichia coli (strain K12)	360
eco:b0345	A0A4D6FVL5	A0A4D6FVL5_ECOLI	unreviewed	LacI	lacI	Escherichia coli str. K-12 substr. MG1655	360
eco:b0351	P77580	ACDH_ECOLI	reviewed	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	mhpF mhpE b0351 JW0342	Escherichia coli (strain K12)	316
eco:b0383	P00634	PPB_ECOLI	reviewed	Alkaline phosphatase (APase) (EC 3.1.3.1)	phoA b0383 JW0374	Escherichia coli (strain K12)	471
eco:b0399	P0AFJ5	PHOB_ECOLI	reviewed	Phosphate regulon transcriptional regulatory protein PhoB	phoB b0399 JW0389	Escherichia coli (strain K12)	229
eco:b0407	P0ADZ7	YAJC_ECOLI	reviewed	Sec translocon accessory complex subunit YajC	yajC b0407 JW0397	Escherichia coli (strain K12)	110
eco:b0408	P0AG90	SECD_ECOLI	reviewed	Protein translocase subunit SecD (Sec translocon accessory complex subunit SecD)	secD b0408 JW0398	Escherichia coli (strain K12)	615
eco:b0413	P0A8D0	NRDR_ECOLI	reviewed	Transcriptional repressor NrdR	nrdR ybaD b0413 JW0403	Escherichia coli (strain K12)	149
eco:b0416	P0A780	NUSB_ECOLI	reviewed	Transcription antitermination protein NusB (Antitermination factor NusB) (N utilization substance protein B)	nusB groNB ssyB b0416 JW0406	Escherichia coli (strain K12)	139
eco:b0420	P77488	DXS_ECOLI	reviewed	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs yajP b0420 JW0410	Escherichia coli (strain K12)	620
eco:b0424	Q46948	YAJL_ECOLI	reviewed	Protein/nucleic acid deglycase 3 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Chaperone protein YajL) (Maillard deglycase)	yajL thiJ b0424 JW5057	Escherichia coli (strain K12)	196
eco:b0426	P0A8E7	YAJQ_ECOLI	reviewed	UPF0234 protein YajQ	yajQ b0426 JW5058	Escherichia coli (strain K12)	163
eco:b0431	P0ABI8	CYOB_ECOLI	reviewed	Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	cyoB b0431 JW0421	Escherichia coli (strain K12)	663
eco:b0432	P0ABJ1	CYOA_ECOLI	reviewed	Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2)	cyoA b0432 JW0422	Escherichia coli (strain K12)	315
eco:b0434	P0ADA5	YAJG_ECOLI	reviewed	Uncharacterized lipoprotein YajG	yajG b0434 JW0424	Escherichia coli (strain K12)	192
eco:b0436	P0A850	TIG_ECOLI	reviewed	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig b0436 JW0426	Escherichia coli (strain K12)	432
eco:b0437	P0A6G7	CLPP_ECOLI	reviewed	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)	clpP lopP b0437 JW0427	Escherichia coli (strain K12)	207
eco:b0440	P0ACF4	DBHB_ECOLI	reviewed	DNA-binding protein HU-beta (HU-1) (NS1)	hupB hopD b0440 JW0430	Escherichia coli (strain K12)	90
eco:b0450	P0AC55	GLNK_ECOLI	reviewed	Nitrogen regulatory protein P-II 2	glnK ybaI b0450 JW0440	Escherichia coli (strain K12)	112
eco:b0460	P0ACE3	HHA_ECOLI	reviewed	Hemolysin expression-modulating protein Hha	hha b0460 JW0449	Escherichia coli (strain K12)	72
eco:b0462	P31224	ACRB_ECOLI	reviewed	Multidrug efflux pump subunit AcrB (AcrAB-TolC multidrug efflux pump subunit AcrB) (Acridine resistance protein B)	acrB acrE b0462 JW0451	Escherichia coli (strain K12)	1049
eco:b0463	P0AE06	ACRA_ECOLI	reviewed	Multidrug efflux pump subunit AcrA (AcrAB-TolC multidrug efflux pump subunit AcrA) (Acridine resistance protein A)	acrA lir mtcA b0463 JW0452	Escherichia coli (strain K12)	397
eco:b0465	P77338	MSCK_ECOLI	reviewed	Mechanosensitive channel MscK (Potassium efflux system KefA)	mscK aefA kefA b0465 JW0454	Escherichia coli (strain K12)	1120
eco:b0470	P06710	DPO3X_ECOLI	reviewed	DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma)	dnaX dnaZ dnaZX b0470 JW0459	Escherichia coli (strain K12)	643
eco:b0473	P0A6Z3	HTPG_ECOLI	reviewed	Chaperone protein HtpG (Heat shock protein C62.5) (Heat shock protein HtpG) (High temperature protein G)	htpG b0473 JW0462	Escherichia coli (strain K12)	624
eco:b0476	P23872	AES_ECOLI	reviewed	Acetyl esterase (EC 3.1.1.-) (EcE)	aes ybaC b0476 JW0465	Escherichia coli (strain K12)	319
eco:b0489	P0AA53	QMCA_ECOLI	reviewed	Protein QmcA	qmcA ybbK b0489 JW0478	Escherichia coli (strain K12)	305
eco:b0492	P77395	CNOX_ECOLI	reviewed	Chaperedoxin (Heat shock protein CnoX) (Trxsc)	cnoX ybbN b0492 JW5067	Escherichia coli (strain K12)	284
eco:b0496	P77504	YBBP_ECOLI	reviewed	Uncharacterized ABC transporter permease YbbP	ybbP b0496 JW0485	Escherichia coli (strain K12)	804
eco:b0532	P77468	SFMD_ECOLI	reviewed	Outer membrane usher protein SfmD	sfmD b0532 JW0521	Escherichia coli (strain K12)	867
eco:b0572	P77211	CUSC_ECOLI	reviewed	Cation efflux system protein CusC	cusC ibeB ylcB b0572 JW0561	Escherichia coli (strain K12)	457
eco:b0573	P77214	CUSF_ECOLI	reviewed	Cation efflux system protein CusF	cusF cusX ylcC b0573 JW0562	Escherichia coli (strain K12)	110
eco:b0574	P77239	CUSB_ECOLI	reviewed	Cation efflux system protein CusB	cusB ylcD b0574 JW0563	Escherichia coli (strain K12)	407
eco:b0577	P0AAT4	YBDG_ECOLI	reviewed	Miniconductance mechanosensitive channel YbdG	ybdG mscM b0577 JW0566	Escherichia coli (strain K12)	415
eco:b0584	P05825	FEPA_ECOLI	reviewed	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)	fepA fep feuB b0584 JW5086	Escherichia coli (strain K12)	746
eco:b0595	P0ADI4	ENTB_ECOLI	reviewed	Enterobactin synthase component B (EC 6.3.2.14) (Enterobactin biosynthesis bifunctional protein EntB) (Enterochelin synthase B) [Includes: Isochorismatase (EC 3.3.2.1) (2,3-dihydro-2,3-dihydroxybenzoate synthase) (Isochorismate lyase); Aryl carrier protein (ArCP)]	entB entG b0595 JW0587	Escherichia coli (strain K12)	285
eco:b0603	P77746	YBDO_ECOLI	reviewed	Uncharacterized HTH-type transcriptional regulator YbdO	ybdO b0603 JW0596	Escherichia coli (strain K12)	300
eco:b0605	P0AE08	AHPC_ECOLI	reviewed	Alkyl hydroperoxide reductase C (EC 1.11.1.26) (Alkyl hydroperoxide reductase protein C22) (Peroxiredoxin) (SCRP-23) (Sulfate starvation-induced protein 8) (SSI8) (Thioredoxin peroxidase)	ahpC b0605 JW0598	Escherichia coli (strain K12)	187
eco:b0607	P39177	USPG_ECOLI	reviewed	Universal stress protein UP12 (Universal stress protein G)	uspG ybdQ yzzU b0607 JW0600	Escherichia coli (strain K12)	142
eco:b0619	P77510	DPIB_ECOLI	reviewed	Sensor histidine kinase DpiB (EC 2.7.13.3) (Sensor histidine kinase CitA)	dpiB citA mpdB ybeP b0619 JW0611	Escherichia coli (strain K12)	552
eco:b0628	P60716	LIPA_ECOLI	reviewed	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA lip b0628 JW0623	Escherichia coli (strain K12)	321
eco:b0631	P0A8J4	YBED_ECOLI	reviewed	UPF0250 protein YbeD	ybeD b0631 JW0626	Escherichia coli (strain K12)	87
eco:b0635	P0AD65	MRDA_ECOLI	reviewed	Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4) (Penicillin-binding protein 2) (PBP-2)	mrdA pbpA b0635 JW0630	Escherichia coli (strain K12)	633
eco:b0640	P28630	HOLA_ECOLI	reviewed	DNA polymerase III subunit delta (EC 2.7.7.7)	holA b0640 JW0635	Escherichia coli (strain K12)	343
eco:b0642	P07813	SYL_ECOLI	reviewed	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS b0642 JW0637	Escherichia coli (strain K12)	860
eco:b0650	P77319	HSCC_ECOLI	reviewed	Chaperone protein HscC (Hsc62)	hscC ybeW b0650 JW0645	Escherichia coli (strain K12)	556
eco:b0683	P0A9A9	FUR_ECOLI	reviewed	Ferric uptake regulation protein (Ferric uptake regulator)	fur b0683 JW0669	Escherichia coli (strain K12)	148
eco:b0688	P36938	PGM_ECOLI	reviewed	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)	pgm b0688 JW0675	Escherichia coli (strain K12)	546
eco:b0694	P21866	KDPE_ECOLI	reviewed	KDP operon transcriptional regulatory protein KdpE	kdpE b0694 JW5096	Escherichia coli (strain K12)	225
eco:b0695	P21865	KDPD_ECOLI	reviewed	Sensor protein KdpD (EC 2.7.13.3)	kdpD b0695 JW0683	Escherichia coli (strain K12)	894
eco:b0710	P0AFP6	GCH1L_ECOLI	reviewed	GTP cyclohydrolase 1 type 2 homolog (Radiation resistance protein YbgI)	ybgI b0710 JW0700	Escherichia coli (strain K12)	247
eco:b0720	P0ABH7	CISY_ECOLI	reviewed	Citrate synthase (EC 2.3.3.16)	gltA gluT icdB b0720 JW0710	Escherichia coli (strain K12)	427
eco:b0721	P69054	DHSC_ECOLI	reviewed	Succinate dehydrogenase cytochrome b556 subunit (Cytochrome b-556)	sdhC cybA b0721 JW0711	Escherichia coli (strain K12)	129
eco:b0722	P0AC44	DHSD_ECOLI	reviewed	Succinate dehydrogenase hydrophobic membrane anchor subunit	sdhD b0722 JW0712	Escherichia coli (strain K12)	115
eco:b0723	P0AC41	SDHA_ECOLI	reviewed	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	sdhA b0723 JW0713	Escherichia coli (strain K12)	588
eco:b0726	P0AFG3	ODO1_ECOLI	reviewed	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	sucA b0726 JW0715	Escherichia coli (strain K12)	933
eco:b0727	P0AFG6	ODO2_ECOLI	reviewed	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	sucB b0727 JW0716	Escherichia coli (strain K12)	405
eco:b0728	P0A836	SUCC_ECOLI	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC b0728 JW0717	Escherichia coli (strain K12)	388
eco:b0729	P0AGE9	SUCD_ECOLI	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD b0729 JW0718	Escherichia coli (strain K12)	289
eco:b0733	P0ABJ9	CYDA_ECOLI	reviewed	Cytochrome bd-I ubiquinol oxidase subunit 1 (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I)	cydA cyd-1 b0733 JW0722	Escherichia coli (strain K12)	522
eco:b0736	P0A8Z3	YBGC_ECOLI	reviewed	Acyl-CoA thioester hydrolase YbgC (Acyl-CoA thioesterase) (EC 3.1.2.-)	ybgC b0736 JW0726	Escherichia coli (strain K12)	134
eco:b0739	P19934	TOLA_ECOLI	reviewed	Tol-Pal system protein TolA	tolA cim excC lky b0739 JW0729	Escherichia coli (strain K12)	421
eco:b0741	P0A912	PAL_ECOLI	reviewed	Peptidoglycan-associated lipoprotein (PAL) (Tol-Pal system lipoprotein Pal)	pal excC b0741 JW0731	Escherichia coli (strain K12)	173
eco:b0750	P11458	NADA_ECOLI	reviewed	Quinolinate synthase A (EC 2.5.1.72)	nadA nicA b0750 JW0733	Escherichia coli (strain K12)	347
eco:b0755	P62707	GPMA_ECOLI	reviewed	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA gpm pgm pgmA b0755 JW0738	Escherichia coli (strain K12)	250
eco:b0776	P12998	BIOF_ECOLI	reviewed	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	bioF b0776 JW0759	Escherichia coli (strain K12)	384
eco:b0782	P0AEZ9	MOAB_ECOLI	reviewed	Molybdenum cofactor biosynthesis protein B	moaB chlA2 b0782 JW0765	Escherichia coli (strain K12)	170
eco:b0784	P30748	MOAD_ECOLI	reviewed	Molybdopterin synthase sulfur carrier subunit (MPT synthase subunit 1) (Molybdenum cofactor biosynthesis protein D) (Molybdopterin-converting factor small subunit) (Molybdopterin-converting factor subunit 1) (Sulfur carrier protein MoaD)	moaD chlA4 chlM b0784 JW0767	Escherichia coli (strain K12)	81
eco:b0812	P0ABT2	DPS_ECOLI	reviewed	DNA protection during starvation protein (EC 1.16.-.-)	dps pexB vtm b0812 JW0797	Escherichia coli (strain K12)	167
eco:b0817	P0A9F1	MNTR_ECOLI	reviewed	Transcriptional regulator MntR (Manganese transport regulator)	mntR ybiQ b0817 JW0801	Escherichia coli (strain K12)	155
eco:b0827	P12281	MOEA_ECOLI	reviewed	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)	moeA bisB chlE narE b0827 JW0811	Escherichia coli (strain K12)	411
