yourlist:M2021051372FEB3358BE035486EE75ADE9E91772506A201F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
eco:b0062	P08202	ARAA_ECOLI	reviewed	L-arabinose isomerase (EC 5.3.1.4)	araA b0062 JW0061	Escherichia coli (strain K12)	500
eco:b0071	P30126	LEUD_ECOLI	reviewed	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuD b0071 JW0070	Escherichia coli (strain K12)	201
eco:b0072	P0A6A6	LEUC_ECOLI	reviewed	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC b0072 JW0071	Escherichia coli (strain K12)	466
eco:b0073	P30125	LEU3_ECOLI	reviewed	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB b0073 JW5807	Escherichia coli (strain K12)	363
eco:b0074	P09151	LEU1_ECOLI	reviewed	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA b0074 JW0073	Escherichia coli (strain K12)	523
eco:b0077	P00893	ILVI_ECOLI	reviewed	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	Escherichia coli (strain K12)	574
eco:b0078	P00894	ILVH_ECOLI	reviewed	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	ilvH brnP b0078 JW0077	Escherichia coli (strain K12)	163
eco:b0084	P0AD68	FTSI_ECOLI	reviewed	Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Essential cell division protein FtsI) (Murein transpeptidase) (Penicillin-binding protein 3) (PBP-3) (Peptidoglycan synthase FtsI)	ftsI pbpB b0084 JW0082	Escherichia coli (strain K12)	588
eco:b0085	P22188	MURE_ECOLI	reviewed	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE b0085 JW0083	Escherichia coli (strain K12)	495
eco:b0086	P11880	MURF_ECOLI	reviewed	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase)	murF mra b0086 JW0084	Escherichia coli (strain K12)	452
eco:b0087	P0A6W3	MRAY_ECOLI	reviewed	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY murX b0087 JW0085	Escherichia coli (strain K12)	360
eco:b0088	P14900	MURD_ECOLI	reviewed	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD b0088 JW0086	Escherichia coli (strain K12)	438
eco:b0090	P17443	MURG_ECOLI	reviewed	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG b0090 JW0088	Escherichia coli (strain K12)	355
eco:b0091	P17952	MURC_ECOLI	reviewed	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC b0091 JW0089	Escherichia coli (strain K12)	491
eco:b0092	P07862	DDLB_ECOLI	reviewed	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)	ddlB ddl b0092 JW0090	Escherichia coli (strain K12)	306
eco:b0096	P0A725	LPXC_ECOLI	reviewed	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (Protein EnvA) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	lpxC asmB envA b0096 JW0094	Escherichia coli (strain K12)	305
eco:b0103	P0A6I9	COAE_ECOLI	reviewed	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	coaE yacE b0103 JW0100	Escherichia coli (strain K12)	206
eco:b0109	P30011	NADC_ECOLI	reviewed	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	nadC b0109 JW0105	Escherichia coli (strain K12)	297
eco:b0114	P0AFG8	ODP1_ECOLI	reviewed	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	aceE b0114 JW0110	Escherichia coli (strain K12)	887
eco:b0115	P06959	ODP2_ECOLI	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	aceF b0115 JW0111	Escherichia coli (strain K12)	630
eco:b0116	P0A9P0	DLDH_ECOLI	reviewed	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein)	lpdA lpd b0116 JW0112	Escherichia coli (strain K12)	474
eco:b0118	P36683	ACNB_ECOLI	reviewed	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114	Escherichia coli (strain K12)	865
eco:b0120	P0A7F6	SPED_ECOLI	reviewed	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speD b0120 JW0116	Escherichia coli (strain K12)	264
eco:b0121	P09158	SPEE_ECOLI	reviewed	Polyamine aminopropyltransferase (Cadaverine aminopropyltransferase) (EC 2.5.1.-) (Putrescine aminopropyltransferase) (PAPT) (Spermidine aminopropyltransferase) (EC 2.5.1.79) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16) (Spermine synthase) (EC 2.5.1.22) (Thermospermine synthase)	speE b0121 JW0117	Escherichia coli (strain K12)	288
eco:b0124	P15877	DHG_ECOLI	reviewed	Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-quinone])	gcd b0124 JW0120	Escherichia coli (strain K12)	796
eco:b0125	P0A9M2	HPRT_ECOLI	reviewed	Hypoxanthine phosphoribosyltransferase (HPRT) (EC 2.4.2.8) (6-oxopurine phosphoribosyltransferase) (6-oxopurine PRTase)	hpt b0125 JW5009	Escherichia coli (strain K12)	178
eco:b0131	P0A790	PAND_ECOLI	reviewed	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD b0131 JW0127	Escherichia coli (strain K12)	126
eco:b0133	P31663	PANC_ECOLI	reviewed	Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme)	panC b0133 JW0129	Escherichia coli (strain K12)	283
eco:b0134	P31057	PANB_ECOLI	reviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB b0134 JW0130	Escherichia coli (strain K12)	264
eco:b0142	P26281	HPPK_ECOLI	reviewed	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	folK b0142 JW0138	Escherichia coli (strain K12)	159
eco:b0149	P02919	PBPB_ECOLI	reviewed	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcB pbpF ponB b0149 JW0145	Escherichia coli (strain K12)	844
eco:b0154	P23893	GSA_ECOLI	reviewed	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL gsa popC b0154 JW0150	Escherichia coli (strain K12)	426
eco:b0159	P0AF12	MTNN_ECOLI	reviewed	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	mtnN mtn pfs yadA b0159 JW0155	Escherichia coli (strain K12)	232
eco:b0166	P0A9D8	DAPD_ECOLI	reviewed	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Succinyl-CoA: tetrahydrodipicolinate N-succinyltransferase) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD b0166 JW0161	Escherichia coli (strain K12)	274
eco:b0167	P27249	GLND_ECOLI	reviewed	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD b0167 JW0162	Escherichia coli (strain K12)	890
eco:b0171	P0A7E9	PYRH_ECOLI	reviewed	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH smbA b0171 JW0166	Escherichia coli (strain K12)	241
eco:b0173	P45568	DXR_ECOLI	reviewed	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr ispC yaeM b0173 JW0168	Escherichia coli (strain K12)	398
eco:b0174	P60472	UPPS_ECOLI	reviewed	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (EC 2.5.1.31) (Ditrans,polycis-undecaprenylcistransferase) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)	ispU rth uppS yaeS b0174 JW0169	Escherichia coli (strain K12)	253
eco:b0175	P0ABG1	CDSA_ECOLI	reviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	cdsA cds b0175 JW5810	Escherichia coli (strain K12)	285
eco:b0179	P21645	LPXD_ECOLI	reviewed	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase (UDP-3-O-(3-OHC14)-GlcN N-acyltransferase) (EC 2.3.1.191) (Protein FirA) (Rifampicin resistance protein) (UDP-3-O-(3-hydroxytetradecanoyl)glucosamine N-acyltransferase)	lpxD firA omsA b0179 JW0174	Escherichia coli (strain K12)	341
eco:b0180	P0A6Q6	FABZ_ECOLI	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (17 kDa actomyosin component) (Beta-hydroxyacyl-ACP dehydratase)	fabZ sefA yaeA b0180 JW0175	Escherichia coli (strain K12)	151
eco:b0181	P0A722	LPXA_ECOLI	reviewed	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA b0181 JW0176	Escherichia coli (strain K12)	262
eco:b0182	P10441	LPXB_ECOLI	reviewed	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB pgsB b0182 JW0177	Escherichia coli (strain K12)	382
eco:b0185	P0ABD5	ACCA_ECOLI	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA b0185 JW0180	Escherichia coli (strain K12)	319
eco:b0186	P52095	LDCC_ECOLI	reviewed	Constitutive lysine decarboxylase (LDCC) (EC 4.1.1.18)	ldcC ldc ldcH b0186 JW0181	Escherichia coli (strain K12)	713
eco:b0194	P16659	SYP_ECOLI	reviewed	Proline--tRNA ligase (EC 6.1.1.15) (Global RNA synthesis factor) (Prolyl-tRNA synthetase) (ProRS)	proS drpA b0194 JW0190	Escherichia coli (strain K12)	572
eco:b0200	P63228	GMHBB_ECOLI	reviewed	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB yaeD b0200 JW0196	Escherichia coli (strain K12)	191
eco:b0207	P30863	DKGB_ECOLI	reviewed	2,5-diketo-D-gluconic acid reductase B (2,5-DKG reductase B) (2,5-DKGR B) (25DKGR-B) (EC 1.1.1.346) (AKR5D)	dkgB yafB b0207 JW0197	Escherichia coli (strain K12)	267
eco:b0212	P0AC84	GLO2_ECOLI	reviewed	Hydroxyacylglutathione hydrolase GloB (EC 3.1.2.6) (Glyoxalase II) (Glx II)	gloB yafR b0212 JW0202	Escherichia coli (strain K12)	251
eco:b0221	Q47146	FADE_ECOLI	reviewed	Acyl-coenzyme A dehydrogenase (ACDH) (Acyl-CoA dehydrogenase) (EC 1.3.8.7) (EC 1.3.8.8)	fadE yafH b0221 JW5020	Escherichia coli (strain K12)	814
eco:b0222	P63224	GMHA_ECOLI	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA lpcA tfrA yafI b0222 JW0212	Escherichia coli (strain K12)	192
eco:b0238	P0A9M5	XGPT_ECOLI	reviewed	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)	gpt gpp gxu b0238 JW0228	Escherichia coli (strain K12)	152
eco:b0242	P0A7B5	PROB_ECOLI	reviewed	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB b0242 JW0232	Escherichia coli (strain K12)	367
eco:b0243	P07004	PROA_ECOLI	reviewed	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA b0243 JW0233	Escherichia coli (strain K12)	417
eco:b0273	P06960	OTC2_ECOLI	reviewed	Ornithine carbamoyltransferase subunit F (OTCase-2) (EC 2.1.3.3)	argF b0273 JW0266	Escherichia coli (strain K12)	334
eco:b0311	P17444	BETA_ECOLI	reviewed	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	betA b0311 JW0303	Escherichia coli (strain K12)	556
eco:b0331	P77541	PRPB_ECOLI	reviewed	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.30) ((2R,3S)-2-methylisocitrate lyase)	prpB yahQ b0331 JW0323	Escherichia coli (strain K12)	296
eco:b0333	P31660	PRPC_ECOLI	reviewed	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) ((2S,3S)-2-methylcitrate synthase) (Citrate synthase) (EC 2.3.3.16)	prpC yahS yzzD b0333 JW0324	Escherichia coli (strain K12)	389
eco:b0334	P77243	PRPD_ECOLI	reviewed	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)	prpD yahT b0334 JW0325	Escherichia coli (strain K12)	483
eco:b0335	P77495	PRPE_ECOLI	reviewed	Propionate--CoA ligase (EC 6.2.1.17) (Propionyl-CoA synthetase)	prpE yahU b0335 JW0326	Escherichia coli (strain K12)	628
eco:b0337	P25524	CODA_ECOLI	reviewed	Cytosine deaminase (CD) (CDA) (CDase) (EC 3.5.4.1) (Cytosine aminohydrolase) (Isoguanine deaminase) (EC 3.5.4.-)	codA b0337 JW0328	Escherichia coli (strain K12)	427
eco:b0339	P0ABE9	CYNT_ECOLI	reviewed	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)	cynT b0339 JW0330	Escherichia coli (strain K12)	219
eco:b0347	P77397	MHPA_ECOLI	reviewed	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.127)	mhpA b0347 JW0338	Escherichia coli (strain K12)	554
eco:b0348	P0ABR9	MHPB_ECOLI	reviewed	2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase (EC 1.13.11.16) (3-carboxyethylcatechol 2,3-dioxygenase)	mhpB b0348 JW0339	Escherichia coli (strain K12)	314
eco:b0349	P77044	MHPC_ECOLI	reviewed	2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase (EC 3.7.1.14) (2-hydroxy-6-ketonona-2,4-diene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4,7-triene-1,9-dioic acid 5,6-hydrolase) (2-hydroxy-6-oxonona-2,4-diene-1,9-dioic acid 5,6-hydrolase)	mhpC b0349 JW0340	Escherichia coli (strain K12)	288
eco:b0350	P77608	MHPD_ECOLI	reviewed	2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase)	mhpD b0350 JW0341	Escherichia coli (strain K12)	269
eco:b0351	P77580	ACDH_ECOLI	reviewed	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	mhpF mhpE b0351 JW0342	Escherichia coli (strain K12)	316
eco:b0352	P51020	HOA_ECOLI	reviewed	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)	mhpE b0352 JW0343	Escherichia coli (strain K12)	337
eco:b0355	P51025	SFGH1_ECOLI	reviewed	S-formylglutathione hydrolase FrmB (FGH) (EC 3.1.2.12)	frmB yaiM b0355 JW0346	Escherichia coli (strain K12)	277
eco:b0356	P25437	FRMA_ECOLI	reviewed	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284) (Alcohol dehydrogenase class-3) (EC 1.1.1.1) (Alcohol dehydrogenase class-III) (Glutathione-dependent formaldehyde dehydrogenase) (FALDH) (FDH) (GSH-FDH) (EC 1.1.1.-)	frmA adhC b0356 JW0347	Escherichia coli (strain K12)	369
eco:b0369	P0ACB2	HEM2_ECOLI	reviewed	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB ncf b0369 JW0361	Escherichia coli (strain K12)	324
eco:b0381	P0A6J8	DDLA_ECOLI	reviewed	D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A)	ddlA b0381 JW0372	Escherichia coli (strain K12)	364
eco:b0388	P0A6E1	AROL_ECOLI	reviewed	Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII)	aroL b0388 JW0379	Escherichia coli (strain K12)	174
eco:b0399	P0AFJ5	PHOB_ECOLI	reviewed	Phosphate regulon transcriptional regulatory protein PhoB	phoB b0399 JW0389	Escherichia coli (strain K12)	229
eco:b0403	P21517	MALZ_ECOLI	reviewed	Maltodextrin glucosidase (EC 3.2.1.20) (Alpha-glucosidase)	malZ b0403 JW0393	Escherichia coli (strain K12)	604
eco:b0404	P21515	ACPH_ECOLI	reviewed	Acyl carrier protein phosphodiesterase (ACP phosphodiesterase) (EC 3.1.4.14)	acpH yajB b0404 JW0394	Escherichia coli (strain K12)	193
eco:b0405	P0A7F9	QUEA_ECOLI	reviewed	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA b0405 JW0395	Escherichia coli (strain K12)	356
eco:b0406	P0A847	TGT_ECOLI	reviewed	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt b0406 JW0396	Escherichia coli (strain K12)	375
eco:b0414	P25539	RIBD_ECOLI	reviewed	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	ribD ribG ybaE b0414 JW0404	Escherichia coli (strain K12)	367
eco:b0415	P61714	RISB_ECOLI	reviewed	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribE ribH ybaF b0415 JW0405	Escherichia coli (strain K12)	156
eco:b0417	P0AGG0	THIL_ECOLI	reviewed	Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16)	thiL b0417 JW0407	Escherichia coli (strain K12)	325
eco:b0418	P18200	PGPA_ECOLI	reviewed	Phosphatidylglycerophosphatase A (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase A) (PGP phosphatase A)	pgpA yajN b0418 JW0408	Escherichia coli (strain K12)	172
eco:b0420	P77488	DXS_ECOLI	reviewed	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs yajP b0420 JW0410	Escherichia coli (strain K12)	620
eco:b0421	P22939	ISPA_ECOLI	reviewed	Farnesyl diphosphate synthase (FPP synthase) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Geranyltranstransferase)	ispA b0421 JW0411	Escherichia coli (strain K12)	299
eco:b0423	P77718	THII_ECOLI	reviewed	tRNA sulfurtransferase (EC 2.8.1.4) (Sulfur carrier protein ThiS sulfurtransferase) (Thiamine biosynthesis protein ThiI) (tRNA 4-thiouridine synthase)	thiI yajK b0423 JW0413	Escherichia coli (strain K12)	482
