X1,X2,X3,X4,X5,X6,X7,X8,cid
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O60658,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",Homo sapiens,enzyme  phosphodiesterase  pde_8  pde_8a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase",Homo sapiens,enzyme  phosphodiesterase  pde_5  pde_5a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O76083,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Homo sapiens,enzyme  phosphodiesterase  pde_9  pde_9a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O95263,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B",Homo sapiens,enzyme  phosphodiesterase  pde_8  pde_8b,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P16499,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P18545,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6g,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",Homo sapiens,enzyme  phosphodiesterase  pde_4  pde_4a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P35913,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6b,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P51160,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6c,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P54750,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",Homo sapiens,enzyme  phosphodiesterase  pde_1  pde_1a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q01064,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Homo sapiens,enzyme  phosphodiesterase  pde_1  pde_1b,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Homo sapiens,enzyme  phosphodiesterase  pde_4  pde_4b,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q08493,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",Homo sapiens,enzyme  phosphodiesterase  pde_4  pde_4c,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q08499,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Homo sapiens,enzyme  phosphodiesterase  pde_4  pde_4d,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q13370,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Homo sapiens,enzyme  phosphodiesterase  pde_3  pde_3b,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q13946,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",Homo sapiens,enzyme  phosphodiesterase  pde_7  pde_7a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q13956,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6h,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q14123,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",Homo sapiens,enzyme  phosphodiesterase  pde_1  pde_1c,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Homo sapiens,enzyme  phosphodiesterase  pde_3  pde_3a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q9NP56,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B",Homo sapiens,enzyme  phosphodiesterase  pde_7  pde_7b,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q9Y233,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Homo sapiens,enzyme  phosphodiesterase  pde_10  pde_10a,3108
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",Homo sapiens,enzyme  phosphodiesterase  pde_2  pde_2a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O43924,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6d,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O60658,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",Homo sapiens,enzyme  phosphodiesterase  pde_8  pde_8a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase",Homo sapiens,enzyme  phosphodiesterase  pde_5  pde_5a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O76083,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Homo sapiens,enzyme  phosphodiesterase  pde_9  pde_9a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O95263,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B",Homo sapiens,enzyme  phosphodiesterase  pde_8  pde_8b,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P16499,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P18545,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6g,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",Homo sapiens,enzyme  phosphodiesterase  pde_4  pde_4a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P35913,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6b,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P51160,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6c,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",P54750,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",Homo sapiens,enzyme  phosphodiesterase  pde_1  pde_1a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q01064,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Homo sapiens,enzyme  phosphodiesterase  pde_1  pde_1b,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Homo sapiens,enzyme  phosphodiesterase  pde_4  pde_4b,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q08493,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",Homo sapiens,enzyme  phosphodiesterase  pde_4  pde_4c,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q08499,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Homo sapiens,enzyme  phosphodiesterase  pde_4  pde_4d,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q13370,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Homo sapiens,enzyme  phosphodiesterase  pde_3  pde_3b,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q13946,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",Homo sapiens,enzyme  phosphodiesterase  pde_7  pde_7a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q13956,"Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6h,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q14123,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",Homo sapiens,enzyme  phosphodiesterase  pde_1  pde_1c,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Homo sapiens,enzyme  phosphodiesterase  pde_3  pde_3a,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q9NP56,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B",Homo sapiens,enzyme  phosphodiesterase  pde_7  pde_7b,4740
pentoxifylline,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",Q9Y233,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Homo sapiens,enzyme  phosphodiesterase  pde_10  pde_10a,4740
nitisinone,4-hydroxyphenylpyruvate dioxygenase inhibitor,CHEMBL1861,4-hydroxyphenylpyruvate dioxygenase,P32754,4-hydroxyphenylpyruvate dioxygenase,Homo sapiens,enzyme  reductase,115355
capreomycine,70S ribosome inhibitor,CHEMBL2363965,70S ribosome,NA,16S ribosomal RNA,Mycobacterium tuberculosis,NA,135483770
capreomycine,70S ribosome inhibitor,CHEMBL2363965,70S ribosome,NA,23S ribosomal RNA,Mycobacterium tuberculosis,NA,135483770
lincomycin,70S ribosome inhibitor,CHEMBL2363853,70S ribosome,NA,23S ribosomal RNA,Streptococcus pneumoniae,NA,3000540
pyrazinamide,70S ribosome inhibitor,CHEMBL2363965,70S ribosome,P9WH43,30S ribosomal protein S1,Mycobacterium tuberculosis,cytosolic other,1046
retapamulin,70S ribosome inhibitor,CHEMBL2364096,70S ribosome,Q2FW06,50S ribosomal protein L3,Staphylococcus aureus,cytosolic other,6918462
retapamulin,70S ribosome inhibitor,CHEMBL2364103,70S ribosome,Q9A1X4,50S ribosomal protein L3,Streptococcus pyogenes,cytosolic other,6918462
tobramycin,70S ribosome inhibitor,CHEMBL2364022,70S ribosome,NA,23S ribosomal RNA,Pseudomonas aeruginosa,NA,36294
troleandomycin,70S ribosome inhibitor,CHEMBL2363853,70S ribosome,NA,23S ribosomal RNA,Streptococcus pneumoniae,NA,133562799
viomycin,70S ribosome inhibitor,CHEMBL2363965,70S ribosome,NA,16S ribosomal RNA,Mycobacterium tuberculosis,NA,135398671
viomycin,70S ribosome inhibitor,CHEMBL2363965,70S ribosome,NA,23S ribosomal RNA,Mycobacterium tuberculosis,NA,135398671
pralidoxime,Acetylcholinesterase activator,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,135398747
ambenonium,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,2131
demecarium,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,5966
donepezil,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,3152
echothiophate,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,10548
edrophonium,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,3202
galantamine,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,9651
hexafluorenium,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,3601
isoflurophate,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,5936
malathion,Acetylcholinesterase inhibitor,CHEMBL2362988,Acetylcholinesterase,A2PZ98,Acetylcholinesterase,Pediculus humanus capitis,enzyme  hydrolase,4004
neostigmine,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,4456
pyridostigmine,Acetylcholinesterase inhibitor,CHEMBL220,Acetylcholinesterase,P22303,Acetylcholinesterase,Homo sapiens,enzyme  hydrolase,4991
pentoxifylline,Adenosine A2 receptor antagonist,CHEMBL2094257,Adenosine A2 receptor,P29274,Adenosine receptor A2a,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,4740
pentoxifylline,Adenosine A2 receptor antagonist,CHEMBL2094257,Adenosine A2 receptor,P29275,Adenosine receptor A2b,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,4740
regadenoson,Adenosine A2a receptor agonist,CHEMBL251,Adenosine A2a receptor,P29274,Adenosine receptor A2a,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,219024
pentostatin,Adenosine deaminase inhibitor,CHEMBL1910,Adenosine deaminase,P00813,Adenosine deaminase,Homo sapiens,enzyme  hydrolase,439693
pegademase bovine,Adenosine hydrolytic enzyme,CHEMBL2364178,Adenosine,NA,NA,Homo sapiens,NA,NA
adenosine,Adenosine receptor agonist,CHEMBL2111329,Adenosine receptor,P0DMS8,Adenosine receptor A3,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,60961
adenosine,Adenosine receptor agonist,CHEMBL2111329,Adenosine receptor,P29274,Adenosine receptor A2a,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,60961
adenosine,Adenosine receptor agonist,CHEMBL2111329,Adenosine receptor,P29275,Adenosine receptor A2b,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,60961
adenosine,Adenosine receptor agonist,CHEMBL2111329,Adenosine receptor,P30542,Adenosine receptor A1,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,60961
caffeine,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P0DMS8,Adenosine receptor A3,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,2519
caffeine,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P29274,Adenosine receptor A2a,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,2519
caffeine,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P29275,Adenosine receptor A2b,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,2519
caffeine,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P30542,Adenosine receptor A1,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,2519
theophylline,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P0DMS8,Adenosine receptor A3,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,2153
theophylline,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P29274,Adenosine receptor A2a,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,2153
theophylline,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P29275,Adenosine receptor A2b,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,2153
theophylline,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P30542,Adenosine receptor A1,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,2153
theophylline glycinate,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P0DMS8,Adenosine receptor A3,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,19987169
theophylline glycinate,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P29274,Adenosine receptor A2a,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,19987169
theophylline glycinate,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P29275,Adenosine receptor A2b,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,19987169
theophylline glycinate,Adenosine receptor antagonist,CHEMBL2111329,Adenosine receptor,P30542,Adenosine receptor A1,Homo sapiens,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,19987169
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P08913,Alpha-2A adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P13945,Beta-3 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P18089,Alpha-2B adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P18825,Alpha-2C adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P25100,Alpha-1D adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P35348,Alpha-1A adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
dipivefrin,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P35368,Alpha-1B adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3105
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P08913,Alpha-2A adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P13945,Beta-3 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P18089,Alpha-2B adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P18825,Alpha-2C adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P25100,Alpha-1D adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P35348,Alpha-1A adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
droxidopa,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P35368,Alpha-1B adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,92974
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P08913,Alpha-2A adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P13945,Beta-3 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P18089,Alpha-2B adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P18825,Alpha-2C adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P25100,Alpha-1D adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P35348,Alpha-1A adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
epinephrine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P35368,Alpha-1B adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5816
hydroxyamphetamine,Adrenergic receptor agonist,CHEMBL2331074,Adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,23378249
